property_id,airbnb_property_id,vrbo_property_id,listing_type,bedrooms,bathrooms,accommodates,rating,reviews,title,revenue_ltm,revenue_potential_ltm,occupancy_rate_ltm,average_daily_rate_ltm,days_available_ltm,market_id,market_name,currency,address_match_confidence,lat,lng,submarket
abnb_907274768455279490,907274768455279490,,entire_place,2.0,2.0,2.0,4.5,36.0,Quiet and central apartment in Colonial Zone,54340749.85,55054446.8,72.22,209002.88,360.0,84832,Santo Domingo City,cop,Low,18.47398,-69.88699,141879
abnb_1140774510276442369,1140774510276442369,9953062ha,entire_place,2.0,2.0,4.0,4.8,14.0,Enriquillo 2-Bedroom Apt @Casaareito,54080289.9,54339906.11,35.03,436131.38,354.0,84832,Santo Domingo City,cop,High,18.4699,-69.8899,141879
abnb_1223389986956169194,1223389986956169194,,entire_place,2.0,2.0,4.0,4.1,13.0,2 rooms Zona Colonial,53816161.5,54642736.65,92.0,179987.16,325.0,84832,Santo Domingo City,cop,Low,18.46874,-69.88787,141879
abnb_1371357400131124380,1371357400131124380,,entire_place,3.0,2.0,5.0,4.3,20.0,SDQ Colonial escape 3 Bed+ 3 rooms+ balcony,52378129.1,56200177.1,66.45,261890.65,301.0,84832,Santo Domingo City,cop,Low,18.469000752,-69.888176487,141879
abnb_1392764995872717859,1392764995872717859,,entire_place,2.0,2.0,4.0,5.0,10.0,Colonial Charm 2BR in Historic Santo Domingo,51640770.65,73194821.99,60.77,406620.24,209.0,84832,Santo Domingo City,cop,Low,18.470753903,-69.886745291,141879
abnb_964653169681692878,964653169681692878,11781293ha,entire_place,2.0,1.0,4.0,4.9,82.0,Casa Grullon - Loft. Comfort & ancient beauty meet,51028139.5,52927699.59,39.2,369769.14,352.0,84832,Santo Domingo City,cop,High,18.4716,-69.888,141879
abnb_1263932292545876469,1263932292545876469,4329909,entire_place,2.0,2.0,4.0,4.4,31.0,Luxury Colonial Zone Center Oasis By YellowKey,50976781.2,53467401.96,38.3,389135.71,342.0,84832,Santo Domingo City,cop,Low,18.46969,-69.88732,141879
abnb_1041826278041644575,1041826278041644575,,entire_place,2.0,2.0,4.0,4.7,45.0,2D apartment in Colonial area,50870396.15,51148574.71,62.86,231229.08,350.0,84832,Santo Domingo City,cop,Low,18.47377,-69.88745,141879
abnb_949985829877065105,949985829877065105,,entire_place,3.0,2.0,6.0,5.0,18.0,Ocean view in the colonial area,50584257.05,54870987.61,29.87,568362.46,298.0,84832,Santo Domingo City,cop,Low,18.46882,-69.88439,141879
abnb_604221303989278182,604221303989278182,,entire_place,2.0,2.0,4.0,4.6,17.0,"Beautiful Apartment, Colonial Zone, Santo Domingo",50136706.15,66379832.38,75.98,368652.24,179.0,84832,Santo Domingo City,cop,Low,18.47101,-69.88655,141879
